Pos.,Piloto,nombre,constructor,Puntos
1,Italia,Francesco Bagnaia,Ducati,251
2,España,Jorge Martín,Ducati,189
3,Italia,Marco Bezzecchi,Ducati,183
4,Sudáfrica,Brad Binder       ,KTM,160
5,Francia,Johann Zarco,Ducati,125
6,Italia,Luca Marini       ,Ducati,120
7,España,Aleix Espargaró       ,Aprilia,117
8,Australia,Jack Miller,KTM,96
9,España,Álex Márquez       ,Ducati,92
10,España,Maverick Viñales       ,Aprilia,86
11,Francia,Fabio Quartararo       ,Yamaha,73
12,Italia,Franco Morbidelli       ,Yamaha,65
13,España,Augusto Fernández       ,KTM,51
14,España,Alex Rins       ,Honda,47
15,Portugal,Miguel Oliveira       ,Aprilia,40
16,Italia,Fabio Di Giannantonio       ,Ducati,37
17,Japón,Takaaki Nakagami       ,Honda,34
18,Italia,Enea Bastianini       ,Ducati,24
19,España,Marc Márquez       ,Honda,19
20,España,Raúl Fernández       ,Aprilia,14
21,España,Dani Pedrosa       ,KTM,13
22,Italia,Lorenzo Savadori,Aprilia,9
23,Alemania,Jonas Folger       ,KTM,9
24,España,Pol Espargaró,KTM,8
25,España,Joan Mir,Honda,5
26,Italia,Michele Pirro       ,Ducati,5
27,Italia,Danilo Petrucci        ,Ducati,5
28,Alemania,Stefan Bradl       ,Honda,5
29,España,Iker Lecuona Gascón,Honda,0